ა;ანი;ɑ;A a;A a;А а;;;
ბ;ბანი;b;B b;B b;Б б;;;
გ;განი;g;G g;G g;Г г;;;
დ;დონი;d;D d;D d;Д д;;;
ე;ენი;ɛ;E e;E e;Э э, Е е;;;
ვ;ვინი;v;V v;V v;В в;;;
ზ;ზენი;z;Z z;Z z;З з;;;
თ;თანი;tʰ;T' t';T t;Ҭ ҭ;;;
ი;ინი;ɪ;I i;I i;И и;;;
კ;კანი;k';K k;K' k';К к;;;
ლ;ლასი;l;L l;L l;Л л;;;
მ;მანი;m;M m;M m;М м;;;
ნ;ნარი;n;N n;N n;Н н;;;
ო;ონი;ɔ;O o;O o;О о;;;
პ;პარი;p';P p;P' p';П п;;;
ჟ;ჟანი;ʒ;Ž ž;Zh zh;Ж ж;;;
რ;რაე;r;R r;R r;Р р;;;
ს;სანი;s;S s;S s;С с;;;
ტ;ტარი;t';T t;T' t';Т т;;;
ჳ;ვიე;wi;—;—;—;;;
უ;უნი;u;U u;U u;У у;;;
ფ;ფარი;pʰ;P' p';P p;Ҧ ҧ;;;
ქ;ქანი;kʰ;K' k';K k;Қ қ;;;
ღ;ღანი;ʁ;Ḡ ḡ;Gh gh;Ҕ ҕ (Г' г');;;
ყ;ყარი;q';Q q;Q' q';Ҟ ҟ;;;
შ;შინი;ʃ;Š š;Sh sh;Ш ш;;;
ჩ;ჩინი;tʃ;Č' č';Ch ch;Ч ч;;;
ც;ცანი;ts;C' c';Ts ts;Ц ц;;;
ძ;ძილი;dz;J j;Dz dz;Ӡ ӡ;;;
წ;წილი;tsʼ;C c;Ts' ts';Ҵ ҵ;;;
ჭ;ჭარი;tʃʼ;Č č;Ch' ch';Ҷ ҷ;;;
ხ;ხანი;χ;X x;Kh kh;Х х;;;
ჴ;ჴარ;q;—;—;—;;;
ჯ;ჯანი;dʒ;J̌ ǰ;J j;Џ џ;;;
ჰ;ჰაე;h;H h;H h;Ҳ ҳ;;;