uid	sex	bdate	city	langs
103091894	male	19.2	Петровск-Забайкальский	
223923738	male	27.11	Чита	
76674159	female	30.6	Пятигорск	
62309235	female	15.6	Красноярск	
29802162	female	21.5.1997	Иркутск	
34589359	female	26.10.1994	Новосибирск	
56556171	female		Улан-Удэ	
37707690	female	15.5	Новосибирск	
150559310	male		Белгород	Русский,汉语
84591777	female	22.4	Чита	Русский,English
174963135	male	6.2	Чита	
51353199	male	24.4	Мелеуз	
64311543	male	4.11.1995	Петровск-Забайкальский	
19371549	female	20.11	Псков	
202142701	male	15.2.1901	New York City	English,Русский
101894569	male	2.3.1966	Забайкальск	
58526137	male	5.1.1985	Чита	
29261943	male	15.11	Чита	
93382703	female	12.9	Краснодар	
107896885	male	7.1	Чита	
71948304	male	20.9	Ангарск	
54544594	female		Чита	
52790718	female	16.9	Забайкальск	
55910222	female	17.2.1993	Улан-Удэ	
44675754	female	11.9	Чита	
44350717	female	3.4.1993	Екатеринбург	
160862849	female	15.2.1994	Улан-Удэ	
103075081	female	29.8.1992	Улан-Удэ	
102738854	female	12.10.1994	Петровск-Забайкальский	
100297701	female	25.12.1989	Новокузнецк	
97950948	male	2.5	Иркутск	
38750920	male	22.3.1998	Забайкальск	
20002259	female	2.12	Москва	
12029310	female	25.3.1993	Иркутск	
154895354	female	14.6.1989	Улан-Удэ	
153472936	female	16.7.1984	Агидель	
144724639	female	29.1.1996	Новосибирск	
143658000	male	1.6.1998	Новосибирск	
130482721	female	28.7	Улан-Удэ	
119525916	male	11.8	Чита	
68311266	female	4.12.1990	Санкт-Петербург	
67231465	female		Чита	
60955243	female	19.1	Иркутск	
48524085	male	3.5	Иркутск	
41124492	male	8.1	Чита	
25356374	female	22.6	Краснодар	
21500509	female	4.1	Нижняя Салда	
11386130	female	14.2	Чита	
337025674	female	19.2	Чита	
234978391	male	10.4.1998	Новороссийск	Русский,English
224594132	female	2.11.1999	Петровск-Забайкальский	
188988406	female	13.2	Чита	
186584759	female	18.3	Петровск-Забайкальский	
179968876	female	9.1	Забайкальск	
172484401	male	6.2	Хабаровск	
139121561	male	8.9.1997	Дульдурга	
137367786	female	9.10.1992	Первомайский	
135971948	male	22.10	Петровск-Забайкальский	
132344280	male	11.6	Чита	
119955717	female	2.8	Брянск	
118170372	male	22.7.1996	Забайкальск	
113386865	male	30.12	Чита	
99144467	female	2.8.1995	Улан-Удэ	Русский,English,Буряад
91413514	male	29.8.1990	Петровск-Забайкальский	
78782303	female	14.1	Пенза	
64305664	female	6.7	Санкт-Петербург	
31107493	female	21.5	Чита	
9903131	male	12.9	Чита	
9079485	female	25.5.1988	Harbin	
7502636	female	21.12	Дзержинск	
6917530	male	6.5	Чита	
243178535	female	8.5.2000	Краснокаменск	
190238873	male	26.2	Новая Чара	
185601006	female		Забайкальск	
169411907	female	27.6.2000	Чита	Русский,English
161022568	female	7.12	Забайкальск	
151035778	female	3.3	Владивосток	
147871419	female	9.6.1993	Забайкальск	
147216149	female	27.2	Чита	Русский,English
144617563	female	16.8	Улан-Удэ	
144226430	female	18.6	Чита	
137671400	female	23.6	Budapest	
126704386	female	25.5	Новосибирск	
123434346	female	9.12.1992	Забайкальск	
123293429	male	20.8.1996	Улан-Удэ	
113905361	male		Улан-Удэ	Русский,Буряад,English,汉语,中文 (繁體)
112760170	male	21.10	Забайкальск	
104887811	female	3.3.1995	Забайкальск	
102956299	female	21.12.1993	Томск	
100554868	female	13.1	Нижний Тагил	
93115672	female	20.1.1996	Забайкальск	
89795764	female	5.10.1990	Петровск-Забайкальский	
82255432	female	20.2	Иркутск	
80631602	female	12.6.1993	Сосновоборск	
79088083	male	9.1.1997	Забайкальск	
68442953	female	29.4.1988	Красноярск	
65626758	female	11.2.1994	Средний	
62456499	female	31.1.1994	Забайкальск	
59212724	female	30.10.1995	Петровск-Забайкальский	
56201119	male	9.7	Чита	
56061052	female	8.6.1995	Иркутск	
65371052	female	6.5.1994	Петровск-Забайкальский	
54591741	female	31.10.1992	Чита	
51064368	male	23.9	Забайкальск	
50199383	female	4.6.1993	Иркутск	
44104431	female	27.11.1992	Улан-Удэ	
42733562	female	9.5	Нефтегорск	
39218126	female	19.12	Новосибирск	
27895162	male	24.4	Чита	
27708968	female	11.4.1996	Забайкальск	
27663291	female	16.3	Хилок	
25264506	male	2.11.1992	Shenzhen	
21569481	female	2.6.1994	Благовещенск	
15896827	female	10.4	Санкт-Петербург	
12758721	female	13.1.1989	Улан-Удэ	
5449880	female	1.6	Jinzhou	
327675	female	25.7	Москва	
234527	male		Реутов	
279257550	female	1.6.1993	Калуга	
228334408	male	8.12.1996	Чита	
227913369	male	31.3.1999	Cincinnati	Русский,Буряад,English
217904580	male	30.6.1997	Чита	English
215254209	male	16.7.1998	Благовещенск	
213872022	female	10.8	Петровск-Забайкальский	
196611928	male	15.1.1984	Витебск	
195670080	female	16.3	Чита	Русский,English
189126312	male	11.10	Забайкальск	
184803954	male	14.6.2001	Чита	
168233129	male	5.7	Пермь	
164286767	female	7.3	Улан-Удэ	
163034743	female	15.3.1996	Кокуй	Русский,English
160571201	female	26.10.1998	Петровск-Забайкальский	
158216994	female	23.4.1999	Чита	
157149470	female	2.9.1995	Чита	
154085284	male		Чита	
152080659	female	19.10	Красноярск	
145925537	female	15.5.1998	Петровск-Забайкальский	
143883515	female	19.6	Новосибирск	
143599531	male	21.5.1999	Петровск-Забайкальский	
140508290	female	3.4.1991	Чита	
140202764	male	1.8.1996	Чита	
140067622	female	15.9	Чита	
135612694	male	11.10.1997	Комсомольск-на-Амуре	Русский,English
135114267	female	4.8	Петровск-Забайкальский	
133833432	male	7.10.1994	Чита	Русский,English
133581239	female	8.10	Борзя	
133253999	male	15.7	Челябинск	
133252246	female	19.7.1993	Ясногорск	
132045815	male		Чита	
124628937	male		Чита	
122383307	female	17.7.1998	Иркутск	
113321722	male	4.6	Кункур	
111146669	male	9.11.1995	Петровск-Забайкальский	
110063427	female	19.2	Санкт-Петербург	
108965674	female	24.8.1992	Петровск-Забайкальский	
108706123	female	7.1	Куанда	
105299716	female	20.1	Улан-Удэ	
104290118	female	22.9.1995	Чита	
101560838	male	29.5	Иркутск	
96325701	male	19.10.1997	Иркутск	
92738516	female	14.7.1994	Петровск-Забайкальский	
83282116	male	9.3.1987	Москва	
82957604	female	7.5	Санкт-Петербург	Русский,English
81231498	male	6.3	Забайкальск	Русский,Azərbaycan dili,Հայերեն
80104774	male	24.11	Ulaanbaatar	
78889859	male	5.4	Чита	
78874666	female	21.11.1993	Забайкальск	
75508733	male	3.8.1991	Чита	
71556769	female	19.7.1995	Железногорск	
69911387	male	14.12.1996	Чита	
69574307	female	22.11	Екатеринбург	
61516449	male		Забайкальск	
59727506	female	30.11	Иркутск	
55127913	female	17.1	Забайкальск	
54889133	female	13.1.1993	Чита	
52682693	male	18.7	Забайкальск	
51499245	female	4.9	Санкт-Петербург	
50468094	female	1.12.1990	Северск	
50021774	male	25.4	Иркутск	
49547288	female	19.11.1996	Чита	
103648288	female	29.4.1995	Чита	
48057741	male		Забайкальск	Русский,English,Буряад
43776144	female	12.7	Комсомольск-на-Амуре	
43042528	male		Чита	
40686415	male	18.2	Улан-Удэ	
40178351	male		Чита	
39658174	female	19.7	Забайкальск	
38256015	female	8.8	Чита	
33513557	male		Петровск-Забайкальский	
30785476	female		Петровск-Забайкальский	
30517381	female	2.1.1991	Чита	
26881924	male	4.12.1993	Чита	
26651800	female	24.5	Петровск-Забайкальский	
24239757	female	30.7.1994	Чита	
23774173	male	30.1	Чита	
20321698	female	12.11	Чита	
18498502	female	22.2.1993	Петровск-Забайкальский	
15392137	female	25.1.1989	Ижевск	
11858045	female	16.6	Агинское	
9332852	male	14.8.1990	Чита	
8345570	male	12.4.1992	Чита	
7638908	male	21.8.1986	Владимир	
3809811	female	17.6	Красноярск	
3711617	male	22.4.1984	Новочеркасск	
667322	female	29.12	Москва	
330040548	female	7.5	Верхняя Куэнга	
318324791	female	8.3	Петровск-Забайкальский	
310395872	female	1.5	Забайкальск	
305450675	female	24.3.1999	Петровск-Забайкальский	Русский,Français,English
285705432	male	5.2.1996	Краснокаменск	
280335036	female	7.4	Петровск-Забайкальский	
278167952	male	10.9.1989	Краснокаменск	
274127078	female	2.8	Истра	
273187664	female	5.3	Баляга	
260479217	female	19.3.1999	Петровск-Забайкальский	
256824705	female	31.3.2002	Петровск-Забайкальский	Русский,English,汉语
256613705	female	4.10.1994	Улан-Удэ	
255874772	male	2.2.1998	Петровск-Забайкальский	
253585737	female		Чита	Русский,English
249932761	male	14.11.2002	Новосибирск	
246268400	female	27.7.1981	Усолье-Сибирское	
245378463	female		Петровск-Забайкальский	
244699687	female	24.10	Чернышевск	
242605093	female	16.12.1995	Забайкальск	
237777999	female	2.9.2001	Иркутск	
236506322	female	20.2	Петровск-Забайкальский	Русский,English
234261171	male	9.7	Иркутск	Русский,English,Lingua Latina
228247731	female	5.11	Чита	
225927719	female	27.10.1997	Улан-Удэ	
225141085	male	18.8.1997	Хабаровск	
223163529	female	20.1.1996	Карымское	
221224715	female	19.10.1995	Чита	
220795860	female	9.4	Петровск-Забайкальский	
213035825	male	12.11	Новосибирск	
204907988	female	11.9	Петровск-Забайкальский	Русский,English
201822139	female	24.9.2001	Забайкальск	
201552049	female		Чита	
200190262	male	14.6.1901	Чита	
196642102	male	28.2.2000	Улан-Удэ	Русский,Буряад
196225618	male	13.6	Улан-Удэ	Русский,English
195309791	female	10.7.1993	Улан-Удэ	
194072977	male	7.5.2001	Петровск-Забайкальский	
192437410	male	18.9	Петровск-Забайкальский	
187165893	female	24.5.1996	Чита	
184421742	female	7.1	Улан-Удэ	
183773377	female	11.9.1995	Забайкальск	
176259712	female	19.5	Пыть-Ях	
175779816	female	1.11	Чита	
174296081	male	4.6	Петровск-Забайкальский	
172682290	female	28.4	Чита	
169697922	female	12.10	Улан-Удэ	
167013386	male	8.9.1996	Чита	
165353904	female	6.10	Чита	
165341605	male	28.11	Могойтуй	
161703475	female	1.5	Чита	
161263130	female	12.12	Волгоград	
161203016	female	27.3	Улан-Удэ	
160180208	female	8.10	Петровск-Забайкальский	
157663846	female	30.7	Забайкальск	
157466202	female	14.6	Чита	Українська,Русский,English
193634202	female	21.11	Чита	
156862602	male	14.3	Петровск-Забайкальский	
156614575	female	24.10.1994	Забайкальск	
156538684	male	21.12.1998	Петровск-Забайкальский	
153052266	male	13.8.1998	Забайкальск	
153031964	female	9.8	Новосибирск	
152857427	male	3.3	Санкт-Петербург	
152581660	female		Забайкальск	
152097184	female	16.4.1990	Петровск-Забайкальский	Русский,English
151211412	female	9.1.1995	Забайкальск	
151187236	female	13.6.1997	Атамановка	
149058272	male	29.1.1998	Петровск-Забайкальский	
148291604	female	24.2.1994	Иркутск	
147257758	male	13.7.1998	Петровск-Забайкальский	
146576328	male		Бада	
146549497	female		Петровск-Забайкальский	
145831390	female	2.4	Чита	
144222852	female	19.1	Забайкальск	
143510993	female	13.9	Снежинск	
143057052	female	3.12.1991	Чита	
142971438	male	17.5	Улан-Удэ	
142504454	female	16.9	Петровск-Забайкальский	
142487543	male	17.4	Иркутск	
140762753	female	13.8.1993	Чита	
137778021	female	16.3.1997	Иркутск	
137516271	female	30.9.1994	Чита	
136202290	female	30.9.1994	Петровск-Забайкальский	Русский,English
136051846	female	11.2.1998	Оловянная	
135923867	male	27.8.1996	Петровск-Забайкальский	
135456495	male	23.1	Смоленск	
135447784	female	3.11	Балей	
132731515	female	5.4	Чита	
125772531	female	27.9.1998	Забайкальск	
124850366	male	9.6	Чита	
120609201	male		Чита	
118646538	female	1.5.1988	Кусочи	
117864748	female	1.12.1999		
116581850	female	1.9.1994	Забайкальск	
113150031	male	6.8	Петровск-Забайкальский	
108210439	female	26.1	Челябинск	
105996662	female	9.7	Чита	
105860909	male	14.2.1990	Петровск-Забайкальский	
103596661	female	11.2.1993	Чита	
102707997	female	6.7.1997	Хабаровск	
102227888	female	26.3.1992	Чита	
101711467	male		Чернышевск	
173108467	male	2.1	Забайкальск	Русский,Буряад,English
100916929	female	20.4.1991	Агинское	
115678929	male		Екатеринбург	
100732481	female	21.1	Улан-Удэ	
100398034	male	17.4.1997	Санкт-Петербург	
98870769	female		Санкт-Петербург	
98608743	female	5.1	Белгород	
96214732	female	16.6.1995	Забайкальск	
95689622	female	6.9	Улан-Удэ	
93662528	female	3.6	Улан-Удэ	
88837051	male	21.12.1993	Петровск-Забайкальский	
87253367	female	15.4.1994	Петровск-Забайкальский	
86052820	female	28.2.1998	Забайкальск	
86048204	female	5.10	Забайкальск	
84825684	male	26.1.1998	Петровск-Забайкальский	
83872017	female	13.12.1994	Чита	
82957759	female	11.5	Петровск-Забайкальский	
80806340	male	9.11.1994	Петровск-Забайкальский	
79610146	female	11.10	Забайкальск	
78301018	male	27.2	Чита	
74136751	female	15.4	Забайкальск	
73233911	female	15.5.1991	Чита	
72204112	male	9.2	Улан-Удэ	
71297240	female	31.5	Иркутск	
68564474	female	19.1.1994	Петровск-Забайкальский	
68310688	female	9.10.1995	Чита	
66602862	female		Забайкальск	
66009602	female	22.10	Москва	
63382754	female	12.11.1989	Иркутск	
62713263	female	14.3	Чита	
61966268	male	6.1.1994	Москва	
61843894	female	17.12	Улан-Удэ	Русский,English
57261813	male	27.1	Забайкальск	
57047140	female	17.9	Томск	
57003390	female	15.8.1997	Чита	
56709629	male	30.12	Чита	
56616497	male	9.6.1998	Даурия	
55015602	female		Чита	
54904321	male	22.5	Забайкальск	English,中文 (繁體)
52502455	male	23.8	Новосибирск	
155661455	female		Петровск-Забайкальский	
51920487	female	30.10.1999	Забайкальск	
51595472	male		Красноярск	
51493617	male	16.6.1998	Забайкальск	
45984345	female		Альметьевск	
45824180	male	7.8	Петровск-Забайкальский	
44734759	male	21.1.1992	Озерск	
44609868	female	17.2	Красноярск	
44506667	male	12.12.1988	Петровск-Забайкальский	
43700460	male	5.7	Чита	
196318460	male	16.12.1996	Забайкальск	
43476001	female	30.8.1990	Забайкальск	
42574414	female	12.3.1994	Великий Новгород	
41896113	female	27.12.1991	Забайкальск	
39445299	female	20.3	Калининград	
38544625	female	25.7.1989	Улан-Удэ	
37916326	female	5.8	Балей	
37882168	female	29.10.1993	Улан-Удэ	
35919396	female	2.9.1984	Новополоцк	
33591724	male	3.10	Чита	
33406978	female	17.8	Забайкальск	
31220312	female	7.8	Архангельск	
30354083	male	19.11.1995	Петровск-Забайкальский	
116755083	male	2.4	Забайкальск	
30254834	female	25.3	Забайкальск	
29197880	female	30.11.1986	Забайкальск	
29101522	female	2.1	Забайкальск	
26545346	female	21.11.1993	Забайкальск	
25719240	female	11.3	Томск	
24166385	male	7.1	Томск	
24081721	female	27.4.1990	Иркутск	
22069502	female	2.11.1988	Прокопьевск	
21820866	female	13.6.1992	Новосибирск	
21072060	female	19.5	Улан-Удэ	
20006950	female	20.9.1993	Екатеринбург	
19087583	female	5.2.1986	Улан-Удэ	
18295032	female	3.4.1985	Запорожье	
16322141	female		Челябинск	
15839682	male	11.12.1989	Новосибирск	
15754023	male	12.3.1991	Забайкальск	
13732721	female	23.3.1988	Иркутск	
13658986	female	29.12	Москва	
13550205	male	1.9.1990	Москва	
12708763	female	4.10	Чита	
11590356	female	20.5	Иркутск	
75304356	male	6.5.1993	Чита	
10007709	female	25.3	Улан-Удэ	
9417798	female	5.1.1989	Томск	
8769773	male	4.4	Шымкент	
7616708	female	31.12.1985	Снежинск	
6436965	male		Москва	
5926192	female	24.4.1984	Новосибирск	
5761161	female	12.4.1901	Чита	
4665420	male	16.3.1992	Забайкальск	
3879982	female		Томск	
3793682	male	30.6	Новосибирск	
3737698	male	24.2.1987	Саранск	
278993227	female	4.3.2001	Erdenet	
2174068	male	11.12.1986	Новосибирск	Русский,Deutsch,English
1716518	male	16.2.1989	Тюмень	
1501738	female	9.8	Санкт-Петербург	
562764	female	12.10.1986	Санкт-Петербург	
166261822	female	25.12	Саратов	
87348979	female	13.10	Краснокаменск	
45637164	female	31.12	Иркутск	
368408249	female	27.8	Петровск-Забайкальский	
365772097	female	18.12.1997	Чита	
365770553	female	20.9	Краснокаменск	
363794579	female	24.9.2002	Нерчинский Завод	Русский,English,日本語
360479799	female	26.1.1987	Краснодар	Русский,汉语
360224243	female	1.5.2002	Чита	
359090513	male	25.7	Воронеж	
357223603	male	8.11.2002	Петровск-Забайкальский	
356261298	male	7.1.2002	Краснокаменск	
353667433	female	11.1	Забайкальск	
353423744	female	9.9.1996	Чита	
350031872	female		Заводоуковск	
349241981	male	1.11.1973	Петровск-Забайкальский	
343806708	male	2.9.1999	Петровск-Забайкальский	
343375647	female	20.4.2002	Петровск-Забайкальский	
343260418	male		Забайкальск	
341379918	female	18.6	Омск	
339958678	male	27.4	Киров	
339957925	female	13.12	Петровск-Забайкальский	
339743246	female	16.11.2001	Петровск-Забайкальский	
339328607	female	5.11	Зима	
339268320	male	3.8.1998	Петровск-Забайкальский	
338232098	female	12.4	Забайкальск	
